GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
844320,160,8,,,,,,Leadville city,2602,1674,2821,1514,2602,2821
845255,160,8,,,,,,Littleton city,41737,19434,40340,18084,41737,40340
845530,160,8,,,,,,Lochbuie town,4726,1762,2049,654,4726,2049
845680,160,8,,,,,,Loghill Village CDP,521,345,311,185,521,311
845970,160,8,,,,,,Longmont city,86270,35008,71093,27394,86270,71093
847070,160,8,,,,,,Lyons town,2033,904,1585,686,2033,1585
848555,160,8,,,,,,Marble town,131,105,105,74,131,105
850012,160,8,,,,,,Meridian CDP,2970,1735,184,140,2970,184
851745,160,8,,,,,,Montrose city,19132,8621,12344,5581,19132,12344
852570,160,8,,,,,,Mount Crested Butte town,801,1510,707,1052,801,707
853780,160,8,,,,,,Niwot CDP,4006,1669,4160,1546,4006,4160
855045,160,8,,,,,,Nunn town,416,197,471,174,416,471
855155,160,8,,,,,,Oak Creek town,884,510,849,441,884,849
855705,160,8,,,,,,Olney Springs town,345,161,389,161,345,389
856475,160,8,,,,,,Ovid town,318,176,330,178,318,330
856695,160,8,,,,,,Padroni CDP,76,46,97,43,76,97
858235,160,8,,,,,,Peetz town,238,106,227,99,238,227
860600,160,8,,,,,,Poncha Springs town,737,362,466,226,737,466
863265,160,8,,,,,,Red Cliff town,267,141,289,122,267,289
876190,160,8,,,,,,Tabernash CDP,417,301,165,103,417,165
864090,160,8,,,,,,Rico town,265,210,205,197,265,205
865190,160,8,,,,,,Rocky Ford city,3957,1869,4286,1852,3957,4286
866895,160,8,,,,,,Rye town,153,115,202,119,153,202
867005,160,8,,,,,,Saguache town,485,345,578,328,485,578
867142,160,8,,,,,,St. Mary's CDP,283,310,251,240,283,251
867280,160,8,,,,,,Salida city,5236,2894,5504,2748,5236,5504
867445,160,8,,,,,,Salt Creek CDP,587,268,648,245,587,648
868875,160,8,,,,,,Sedalia CDP,206,92,211,99,206,211
870580,160,8,,,,,,Silverton town,637,501,531,430,637,531
871755,160,8,,,,,,Snowmass Village town,2826,2355,1822,1734,2826,1822
873330,160,8,,,,,,Springfield town,1451,826,1562,838,1451,1562
874485,160,8,,,,,,Stratton town,658,346,669,359,658,669
874815,160,8,,,,,,Sugar City town,258,151,279,147,258,279
875640,160,8,,,,,,Superior town,12483,4698,9011,3754,12483,9011
877510,160,8,,,,,,Timnath town,625,243,223,91,625,223
881690,160,8,,,,,,Vona town,106,61,95,53,106,95
882130,160,8,,,,,,Walden town,608,377,734,397,608,734
883120,160,8,,,,,,Welby CDP,14846,5352,12973,4771,14846,12973
883450,160,8,,,,,,Westcliffe town,568,288,417,246,568,417
883500,160,8,,,,,,Westcreek CDP,129,95,105,62,129,105
885045,160,8,,,,,,Wiley town,405,196,483,195,405,483
885155,160,8,,,,,,Williamsburg town,662,280,714,250,662,714
886090,160,8,,,,,,Woodland Park city,7200,3194,6515,2642,7200,6515
